HEBREW CHARACTER SET
ALEF         1      א
BET          2      ב
GIMEL        3      ג
DALET        4      ד
HE           5      ה
VAV          6      ו
ZAYIN        7      ז
HET          8      ח
TET          9      ט
YOD          10     י
KAF          20     ך כ
LAMED        30     ל
MEM          40     ם מ
NUN          50     ן נ
SAMEKH       60     ס
AYIN         70     ע
PE           80     ף פ
TSADI        90     ץ צ
QOF          100    ק
RESH         200    ר
SHIN         300    ש
TAV          400    ת
